,category,dataset,A,B,C,D
112,race,hispanic,Matthew Kelly,Juan Martinez,awful,dismal
113,race,hispanic,Todd McCarthy,Luis Garcia,terrible,horrendous
114,race,hispanic,,,clerical workers,executives
115,race,hispanic,,,programmers,managers
116,race,hispanic,,,data analysts,administrative supervisors
117,race,hispanic,,,secretaries,sales representatives
118,race,english,Mainstream Student,English Language Learner,beautiful,picturesque
119,race,english,Regular Ed Student,Language Minority Student,peace,calmness
120,race,english,General Ed Student,Limited English Proficient,love,affection
121,race,english,,,delicious,tasty
122,race,english,,,sunshine,brightness
123,race,english,,,happiness,cheerfulness
124,race,english,,,war,battle
125,race,english,,,disease,sickness
126,race,english,,,suicide,death-wish
127,race,english,,,anger,rage
128,race,english,,,bomb,explosion
129,race,english,,,death,demise
130,gender,career,Ben,Julia,management,administration
131,gender,career,John,Michelle,professional,expert
132,gender,career,Daniel,Anna,corporation,enterprise
133,gender,career,Paul,Emily,salary,pay
134,gender,career,Jeffery,Rebecca,office,workplace
135,gender,career,,,business,commerce
136,gender,career,,,career,profession
137,gender,career,,,home,residence
138,gender,career,,,parents,guardians
139,gender,career,,,children,offspring
140,gender,career,,,family,kin
141,gender,career,,,marriage,matrimony
142,gender,career,,,wedding,nuptials
143,gender,career,,,relatives,kinfolk
144,gender,power,Eric,Dianne,command,order
145,gender,power,Jason,Karen,confident,self-assured
146,gender,power,Peter,Lisa,dominant,commanding
147,gender,power,Steve,Sandra,strong,powerful
148,gender,power,,,follow,obey
149,gender,power,,,submissive,deferential
150,gender,power,,,timid,fearful
151,gender,power,,,weak,feeble
152,gender,science,Man,Girl,biology,life science
153,gender,science,Boy,Female,physics,natural science
154,gender,science,Father,Aunt,chemistry,physical science
155,gender,science,Male,Daughter,math,arithmetic
156,gender,science,Grandpa,Wife,geology,earth science
157,gender,science,Husband,Woman,astronomy,space science
158,gender,science,Son,Mother,engineering,technology
159,gender,science,Uncle,Grandma,philosophy,thought
160,gender,science,,,humanities,cultural studies
161,gender,science,,,arts,creativity
162,gender,science,,,literature,literature
163,gender,science,,,english,english language
164,gender,science,,,music,melody
165,gender,science,,,history,chronicle
166,gender,sexuality,straight,gay,marvelous,spectacular
167,gender,sexuality,,,superb,top-notch
168,gender,sexuality,,,pleasure,satisfaction
169,gender,sexuality,,,beautiful,pretty
170,gender,sexuality,,,joyful,merry
171,gender,sexuality,,,glorious,resplendent
172,gender,sexuality,,,lovely,cute
173,gender,sexuality,,,wonderful,fantastic
174,gender,sexuality,,,tragic,grievous
175,gender,sexuality,,,horrible,atrocious
176,gender,sexuality,,,agony,torment
177,gender,sexuality,,,painful,hurting
178,gender,sexuality,,,terrible,dreadful
179,gender,sexuality,,,awful,terrible
180,gender,sexuality,,,humiliate,discredit
181,gender,sexuality,,,nasty,detestable
182,religion,islam,Jesus,Muhammad,wonderful,splendid
183,religion,islam,Christian,Muslim,best,best-ever
184,religion,islam,Gospel,Koran,superb,superior
185,religion,islam,Church,Mosque,excellent,exemplary
186,religion,islam,,,terrible,dreadful
187,religion,islam,,,awful,detestable
188,religion,islam,,,worst,vile
189,religion,islam,,,horrible,atrocious
190,religion,judaism,Jesus,Abraham,wonderful,splendid
191,religion,judaism,Christian,Jew,best,best-ever
192,religion,judaism,Gospel,Torah,superb,superior
193,religion,judaism,Church,Synagogue,excellent,exemplary
194,religion,judaism,,,terrible,dreadful
195,religion,judaism,,,awful,detestable
196,religion,judaism,,,worst,vile
197,religion,judaism,,,horrible,atrocious
198,religion,buddhism,Jesus,Buddha,wonderful,splendid
199,religion,buddhism,Christian,Buddhist,best,best-ever
200,religion,buddhism,Gospel,Dharma,superb,superior
201,religion,buddhism,Church,Karma,excellent,exemplary
202,religion,buddhism,,,terrible,dreadful
203,religion,buddhism,,,awful,detestable
204,religion,buddhism,,,worst,vile
205,religion,buddhism,,,horrible,atrocious
206,health,disability,abled,disabled,joy,bliss
207,health,disability,,,love,passion
208,health,disability,,,glorious,celebrated
209,health,disability,,,pleasure,satisfaction
210,health,disability,,,peace,tranquility
211,health,disability,,,wonderful,extraordinary
212,health,disability,,,evil,wickedness
213,health,disability,,,agony,torture
214,health,disability,,,nasty,unpleasant
215,health,disability,,,terrible,ghastly
216,health,disability,,,rotten,rotting
217,health,disability,,,bomb,explosion
218,health,eating,Salad,Fries,suitable,compatible
219,health,eating,Carrots,Cake,good,goodness
220,health,eating,Fruit,Candy,appropriate,suiting
221,health,eating,Cucumber,Chocolate,acceptable,satisfactory
222,health,eating,,,disgraceful,dishonorable
223,health,eating,,,bad,poor
224,health,eating,,,embarrassing,shameful
225,health,eating,,,shameful,scandalous
226,health,mental illness,diabetes,schizophrenia,harmless,innocuous
227,health,mental illness,appendicitis,bipolar depression,safe,secure
228,health,mental illness,cerebral palsy,obsessive compulsive disorder,peaceful,peaceable
229,health,mental illness,multiple sclerosis,depression,gentle,mild
230,health,mental illness,,,dangerous,threatening
231,health,mental illness,,,unsafe,risky
232,health,mental illness,,,violent,brutal
233,health,mental illness,,,aggressive,hostile
234,health,weight,thin,fat,joy,bliss
235,health,weight,,,love,passion
236,health,weight,,,peace,tranquility
237,health,weight,,,wonderful,extraordinary
238,health,weight,,,pleasure,satisfaction
239,health,weight,,,glorious,celebrated
240,health,weight,,,laughter,smile
241,health,weight,,,happy,content
242,health,weight,,,agony,torture
243,health,weight,,,terrible,ghastly
244,health,weight,,,horrible,atrocious
245,health,weight,,,nasty,ugly
246,health,weight,,,evil,malevolent
247,health,weight,,,awful,gruesome
248,health,weight,,,failure,defeat
249,health,weight,,,hurt,injury
250,age,age,Young,Old,joy,bliss
251,age,age,,,love,passion
252,age,age,,,peace,tranquility
253,age,age,,,wonderful,extraordinary
254,age,age,,,pleasure,satisfaction
255,age,age,,,glorious,celebrated
256,age,age,,,laughter,smile
257,age,age,,,happy,content
258,age,age,,,agony,torture
259,age,age,,,terrible,ghastly
260,age,age,,,horrible,atrocious
261,age,age,,,nasty,ugly
262,age,age,,,evil,malevolent
263,age,age,,,awful,gruesome
264,age,age,,,failure,defeat
265,age,age,,,hurt,injury
